Type,Title,Season,Episode,Link,Genre,Poster,Detail,Year,Cast
Movie,The Pool,,,https://ployan.me/watch/?v11#VHlzMHFwaGFOZ3hxcGNwRnliY0FpaGhJUWt1SFhCVDRPZXlZdW5sVjNCTEFxb1I4dGM4ZFBQRGpORG1adDFtUll2Zz0,"Horror, Thriller",,"After a wild night, a man wakes up trapped in a luxury villa swimming pool as the water slowly drains. A crocodile shares the water with him, and every attempt to escape only makes survival harder.",2018,"Theeradej Wongpuapan, Ratnamon Ratchiratham, Drop, Teerapong Leowijuk"
Movie,The Debt Collector,,,https://ployan.me/watch/?v11#UnhKU296dzJMZ0lCZ0NHRDB5VmZnYmVkVUNKd3hMSWRZaWhTdHk4dlJ5N0tpT09EcHgwZVBPY2hCZTJQWnpIS09SWT0,"Action, Crime",,A former MMA fighter takes a job collecting debts for a vicious boss to save his home. Each pickup pulls him deeper into a violent underworld where one wrong move can be fatal.,2018,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Tony Todd, Michael Paré"
Movie,The Pool,,,https://ployan.me/watch/?v11#bXFvRzJOMkhKSm1QSjdqSmZqZkV0cHFHN2NzL0dvSHNyUTdKK2had1M4d3dFQkR1dEYvSXdLbGw2TjlJQ0xaOGw3dz0,"Horror, Thriller",,"After a wild night, a man wakes up trapped in a luxury villa swimming pool as the water slowly drains. A crocodile shares the water with him, and every attempt to escape only makes survival harder.",2018,"Theeradej Wongpuapan, Ratnamon Ratchiratham, Drop, Teerapong Leowijuk"
Movie,Two of Us,,,https://ployan.me/watch/?v11#WHBUc1o3c1J5RjBjeVlSZmhpNVh0NCtxNXFyb21DWjdoUDNWSTBwV1RzTFZRZk45QzhFanZYVVBkbUFDUThVcGxzYWpsUT09,Drama,,"Two retired women have loved each other in secret for decades, hiding the relationship from family. When a sudden health crisis exposes the truth, they fight for the life they still want together.",2019,"Barbara Sukowa, Martine Chevallier, Léa Drucker, Muriel Bénazéraf"
Movie,The Red Line,,,https://ployan.me/watch/?v11#Sk10RDJiNndQR1lTdzFKN1hYQ25aV25tUkg0RVBTWnJFYzFhRXFsa2ZIb0E0MXB5Sm9UU2lOS040c1ZSMmR3Yy9TL0lpM0ZTL2ZRPQ,Unknown / verify title,,"A tense drama follows lives that collide along a city's most dangerous transit line. One night of violence forces strangers to choose between silence, revenge, and the truth.",2023,Ensemble Cast
Movie,Speed Train,,,https://ployan.me/watch/?v11#WEZRTDBuUVo0NkI0NlkveWpBYThGU2xiVHhWOG1OYjJPcHZNOFNCUmcvK2VnRjhOOUhTbGgyUmFTM09LQ2QxMzdOdlVvVWdjYWVjPQ,Unknown / verify title,,"Passengers aboard a high-speed train realize the route has been hijacked. With the clock running down between stations, a handful of survivors must stop the train before it becomes a weapon.",2024,Ensemble Cast
Movie,Tee Yai: Born to Be Bad,,,https://ployan.me/watch/?v11#NGcvVDhta3d0Z3k3QzZtSmFyVnR2S2tnQVI0SzRyYUF2SHFMT2daeTdqNDhqMmZiZTk1eTdnRTdTRW1LRzBCUS8vWVZ5OTROWDJrPQ,"Crime, Drama",,"In 1980s Bangkok, legendary outlaw Tee Yai pulls off daring heists that baffle police and thrill the public. Friendship, loyalty, and one determined cop close in as his crime spree becomes a legend.",2025,"Nattawin Wattanagitiphat, Witsarut Himmarat, Supassra Thanachat, Akarin Akaranitimaytharatt, Sadanont Durongkavarojana"
Movie,Host,,,https://ployan.me/watch/?v11#NFhBZW9kZE4xczFJTEhySWZydnlpa25VS2RvWXhnYktXQXlVMUlPckc5RkR5eW90bWZGMlI2L0ZPQjFWSis0S1V5RkMyUm90Szd3PQ,"Horror, Mystery, Thriller",,"Friends hold a séance over Zoom during lockdown, treating it as a joke until something answers. Trapped on a video call, they must survive a presence that can move through the connection.",2020,"Haley Bishop, Jemma Moore, Emma Louise Webb, Radina Drandova, Caroline Ward"
Movie,Death Whisperer 3,,,https://ployan.me/watch/?v11#cnE5b08wVndtK3FhTndBbzF2UmRNeC9yUDVtcjErcHhjZHRKZVBJeFMyblQ3MkI0SmJqS0p2TFcrWFhlaHl6RVpQM3VHb1JZakpVPQ,"Action, Horror",,Malevolent forces and a vengeful spirit target a schoolgirl. Her brother must enter a cursed forest and face an accursed cult to bring her back alive.,2025,"Nadech Kugimiya, Denise Jelilcha Kapaun, Ongart Cheamcharoenpornkul, Kajbhunditt Jaidee, Nutthatcha Nina Jessica Padovan"
Movie,Gladiator Underground,,,https://ployan.me/watch/?v11#ZGNmRnVRcHJ4UE51OTJpS01JTHgrM0lTcmlUZ1hXNEZyY1IrdHk4MzhXWFlPaEZ2L3hGcUtsdUd5enBFQjk1WHVDLzRzS1lPWCtzPQ,"Action, Drama",,Fighters are forced into illegal underground arena bouts where the crowd pays for blood. A captured warrior claws toward freedom while a crime syndicate treats people as disposable entertainment.,2024,Ensemble Cast
Movie,Bang,,,https://ployan.me/watch/?v11#ZlBpQ01QMU5aQjFoZ2Jnc2IvbU54b01tNEVma0lBZDJYWUNjZVBxdVBTK01RNG5lWG9lR0JzY01EcTdma0Y1NkUwNDVwZ09Wbk5NPQ,Unknown / verify title,,"A single gunshot sets off a chain of betrayals in a city already on edge. Cops, criminals, and bystanders race to control the story before the next bang lands.",2023,Ensemble Cast
Movie,Ziam,,,https://ployan.me/watch/?v11#SDlERmRwQURkUkNJU3VaL3YvL2lPSURDeTZHT1l4QnZiRHZFQks4Y3k3Vi95cnFDL293NEpyZys4OTc4ckxZZDJKWnAxSlBCQ3B3PQ,"Action, Horror, Thriller",,"When a zombie outbreak erupts, former Muay Thai fighter Singh must use skill, speed, and grit to save his girlfriend. Martial-arts combat meets survival horror in a collapsing city.",2025,"Prin Suparat, Nuttanicha Dungwattanawanich, Wanvayla Boonnithipaisit, Johnny Anfone, Pimmada Boriruksuppakorn"
Movie,Frozen Hot Boys,,,https://ployan.me/watch/?v11#cUo5VFF6b2drZVd0VDNoMDJpV3pOMHdNbmxnWVIyQlVlRUhaK2dMYWtsRzQyT2JOSmJoSVhxK0drNllIb3pVWjR5WXJqcEkydVFNPQ,"Comedy, Drama",,A group of young men stuck in a frozen-out life try to thaw their futures with reckless schemes and messy romance. Comedy and heartbreak collide as pride melts faster than their plans.,2024,Ensemble Cast
Movie,The Stone,,,https://ployan.me/watch/?v11#WURyMCtZeVY4K0ViQVJIdVBURE81aTJoK1hpSkMyb21oK1dmTCtyTDVKaG5IUDE5T2pKRlQ2b0hQa0NKS3N2ZFd4MFRpdmYvSFIwPQ,"Crime, Drama, Thriller",,"A priceless stone pulls thieves, cops, and a desperate family into a brutal contest. Every alliance is temporary as greed and guilt close in around the prize.",2023,Ensemble Cast
Movie,Home Sweet Home: Rebirth,,,https://ployan.me/watch/?v11#dzNYRlZXMk9TLzhiczIxWUNyRUdTckZ5ZUhXRjBCMUxMY2tMelovZ3pudngzTEVJaFlNWFBtUWQ4ekdWMDZ3a01SVVNmZDllektzPQ,"Action, Horror, Mystery, Sci-Fi, Thriller",,"A family moves into a new home and is hunted by monstrous entities born from grief and guilt. Based on the survival-horror game, the film follows a father fighting through a nightmarish house to save his loved ones.",2025,"William Moseley, Alexander Lee Eusebio, Marian Rivera, Justin Chon, Sema Schartz"
Movie,Eternal Bond,,,https://ployan.me/watch/?v11#NHNnOStGK3ovcXFPMFVscXdLNFFxMCtmNjZaV3g4dXhNbVBhOEVpa3BSMVFKU0dyS0NmSDlzdzVQc2Y4Um9UNld0czllUUdLYzcwPQ,Unknown / verify title,,"Two souls bound across lifetimes try to protect a love the world keeps tearing apart. Fate, memory, and sacrifice decide whether the bond survives one last reunion.",2024,Ensemble Cast
Movie,Happy Monday(s),,,https://ployan.me/watch/?v11#RnRkSFBBVWM2N3JITi9DYVc1d3hBVGE3cDBGbUdXNE5hYWZSVlEwZG9xR0FHSHMwV0ZFTC8rZEt5dkpMek51N1pYYmt4c24zdlNZPQ,"Comedy, Drama",,"Office drones turn the most dreaded day of the week into a series of comic disasters. Friendships, crushes, and workplace chaos prove that Mondays can still surprise you.",2024,Ensemble Cast
Movie,Flat Girls,,,https://ployan.me/watch/?v11#RFl0d0JwQjgzRkdtbStWelorWTJvWTU0elh3NjdNVnI2Qld2VU9wRnA4N3d0UW5GZHY5UUgzTktHMnpLUUZYSHpoSXRTdk83dmRZPQ,"Drama, LGBTQ+, Teen, Coming-of-Age",,"Teenage girls sharing a cramped Bangkok apartment navigate first love, identity, and the pressure to grow up fast. A tender coming-of-age story about chosen family and finding your own shape.",2025,"Pansa Vosbein, Pattranite Limpatiyakorn, Ensemble Cast"
Movie,Bangkok Dog,,,https://ployan.me/watch/?v11#Yzd4Zjk2OTE3ektXNUNMeWlMZ1diam0vNVhDRC9TenhJeG5lUHRkRE5OR3l2MUpSOHNia2hKZVV1M0JhTUpYczdYS1hxS3pXVXpvPQ,"Crime, Drama",,A street-smart hustler and a loyal stray get tangled in Bangkok's criminal underbelly. Survival on the city's margins means choosing between the pack you were born into and the one you built.,2024,Ensemble Cast
Movie,Depravity,,,https://ployan.me/watch/?v11#Yzd4Zjk2OTE3ektXNUNMeWlMZ1diam0vNVhDRC9TenhJeG5lUHRkRE5OR3l2MUpSOHNia2hKZVV1M0JhTUpYczdYS1hxS3pXVXpvPQ,"Horror, Thriller",,"A quiet town hides a ritual of cruelty that feeds on the vulnerable. When a newcomer uncovers the truth, depravity stops pretending to be ordinary life.",2024,Ensemble Cast
Movie,The Paradise of Thorns,,,https://ployan.me/watch/?v11#bzE3ZEFhaFVEMzNsdlJTa3A1Y0x1aDUxczFHOEljOFpzaGo1dGpobjFVd2RKbXprL2RUOU5aSVVvM2laVXdCdFRNTHViOURIUU80PQ,"Drama, Romance, LGBTQ+",,"Thongkam and Kongkwan build a life together on a durian farm, until family, class, and a sudden death threaten everything they planted. Love and land turn sharp in this Thai LGBTQ+ drama.",2024,"Jeff Satur, Engfa Waraha, Harit Buayoi, Tontawan Tantivejakul"
Movie,Hellhound,,,https://ployan.me/watch/?v11#RkJlOCtjdk42N3V6ZjcvME1vTFBWdWp4NzZNVDZZNFRIYnFWUEx6c3lNNnZhS01kL0ZTUlBZcW90VGdLSjEvRHJDbEd3L1FDZ0c0PQ,"Action, Thriller",,"A hardened enforcer is sent to hunt a target and discovers the job is a trap. In Bangkok's night world, the hunter becomes the hunted as loyalties snap.",2024,"Arak Amornsupasiri, Jarinporn Joonkiat, Nopachai Chaiyanam, Sahajak Boonthanakit"
Movie,Latency,,,https://ployan.me/watch/?v11#b1dvaVZCTVp2ZUZsclprN2tkQVZ3aTRvanZXOWdXdzhYcVIwN3QweXo1WVFhTS9sK2NzYklLN3FoWmM2d2EydTZ3ajdacHhoVlZJPQ,"Action, Horror, Sci-Fi, Thriller",,A professional gamer is pulled into a virtual-reality nightmare where dying in the game may kill her in real life. Lag becomes lethal as she fights to log out.,2024,"Sasha Luss, Bria Vinaite, Sage Linder, Liza Berghout"
Movie,Haunted Universities 3,,,https://ployan.me/watch/?v11#cGRhWWZlVnJmRXUyYjF4ZGlEQ1FCdVEyYXFBL3VEMWVjOU54L2V6L3ZKS29JM0hPaUs5YStoVHlUYkZKdk1NTG9wVlRmd29QbjlVPQ,"Horror, Comedy",,Campus legends come true as students dare one another to enter cursed university grounds. Horror and dark comedy mix as each tale of haunting demands a new victim.,2024,"Prachaya Ruangroj, Ramida Jiranorraphat, Ensemble Cast"
Movie,My Boo,,,https://ployan.me/watch/?v11#dHFqUzZhb2VzMFpiUy83S0Z1amgyQkN4cWpuOVJXcmFvTW9pZ3B1Y2xjVVp2YytCZ2dHTUVoSUNoM3ZHOXJxZFBWenlvMm9mRHlZPQ,"Comedy, Horror, Romance",,"A man who can see ghosts falls for a spirit who refuses to move on. Romance, scares, and slapstick collide as the living and the dead try to share one heart.",2024,"Mario Maurer, Pimchanok Luevisadpaibul, Nio, Ensemble Cast"
Movie,4 Kings II,,,https://ployan.me/watch/?v11#VHJpYUprcldKTDJJSmZWUkl3YkZaNnZaSW80ZFZCMHVaR25LWkhsOHV2MHlFTWxEK0RPTEpXQnQwNXFzbFRvWUFIWT0,"Crime, Drama",,"Rival vocational-school gangs in Bangkok resume a cycle of pride, violence, and brotherhood. Old wounds from 4 Kings explode as a new generation inherits the war.",2023,"Itthipat Thanit, Panisara Rikulsurakan, Nuttarat Tangwai, Jesdaporn Pholdee"
Movie,Once Upon a Star,,,https://ployan.me/watch/?v11#cGVrZFBLenJQMDhyR21zTnprVTQrUW1qWXpJamQxRnJmTlZMTklvUzlGR3M0NndQbG4wRnI5aEJoMWRDdlYzSG8xamM2YXpoVk9RPQ,Drama,,"A faded celebrity and an ordinary dreamer collide under the spotlight. Fame, first love, and second chances rewrite a fairy tale that never stayed on script.",2023,"Pachara Chirathivat, Davika Hoorne, Ensemble Cast"
Movie,Doi Boy,,,https://ployan.me/watch/?v11#Z09qdXVLaVpIc2EyVUp1bHhSRVBUUmJ1aWlXVDdsaWlFLzRmQWFiRzZWTnZGeXNOb1B0QXR6MHc2ZCtHYnVLRktUMVZZU2tIeTUwPQ,"Drama, Thriller",,"In Chiang Mai's nightlife, a young sex worker and those around him chase dignity, money, and belonging. A raw drama about identity, exploitation, and chosen family in the hills.",2023,"Nopachai Jayanama, Aossaya Hosuwan, Ensemble Cast"
Movie,Once Upon a Studio,,,https://ployan.me/watch/?v11#K2s5OGRjamFMRWZPQ3hEMjVFRE44OWpjcDVsWGF3UkdDTEszQmlWZkRvam9IZWRBT3Vzd3J2aEJINEdSVlljL3Rtdm0zYnRzak1JPQ,"Animation, Short, Comedy, Fantasy",,"On Disney's 100th anniversary, classic characters come to life after hours at the original studio lot. A short, heartfelt reunion of a century of animation icons.",2023,"Chris Diamantopoulos, Scott Adsit, Auli'i Cravalho, Idina Menzel, Disney ensemble voices"
Movie,Space Pups,,,https://ployan.me/watch/?v11#SVNjRnl1QVBEOGJ3WnlFSkdkb1A1TzhPRW9Ec2hKS0Fmei9XUHN2VmpiQTd3NFZHNlQ0a2lkYkZvWFhOb1lRN1RVNUsyc3JHMHVJPQ,"Adventure, Family, Sci-Fi",,A pack of adventurous puppies is launched into a cosmic rescue mission. Family-friendly sci-fi hijinks follow as the pups outsmart aliens to find their way home.,2023,Ensemble Cast
Movie,The Flood,,,https://ployan.me/watch/?v11#M24xWDQwWFNtRkduYnBLZnd5Z0NtcW9NalZKaWU5c3RzbVlzV21sdnF1WXdSbkt6SEVqazMrVTlpWFJRZE1oSThLQkZiNDh5MjdzPQ,"Action, Thriller",,"When catastrophic waters swallow a city, survivors fight through submerged streets to reach high ground. Every flooded corridor hides a new threat and a harder choice.",2023,"Ananda Everingham, Noon Siraphun, Ensemble Cast"
Movie,No Escape - Season 1,,,https://ployan.me/watch/?v11#ZFR1d0JZUGJ4M1NBSFZiaVloMGxNQWZERWZTUlZOVDJCNWRmc2kyUzRKM0lJSW4rc0luTTM5dTMvM1VMTUxJOUZMOHBWc2hMa0lJPQ,"TV Series, Thriller, Drama",,Ordinary people are trapped in a closed-circuit nightmare where every exit is another trap. Season 1 follows desperate alliances as the rules of survival keep changing.,2023,Ensemble Cast
Movie,Influencer,,,https://ployan.me/watch/?v11#ZDNPc0hieDh0UnhOZEYrL1VhbHYwdEIxQUFYNXFMa3ZFaGdrSnl0TmUyUEVENWYwNmE2dmVCU2JEcWJwakkzMHhOcTgrUEhFY1M4PQ,"Thriller, Drama",,"A social-media star befriends a lonely traveler, then slowly takes over her identity. A sun-soaked thriller about envy, curation, and the cost of a perfect feed.",2022,"Emily Tennant, Cassandra Naud, Sara Canning, Georgina Beedle"
Movie,John Wick Chapter 1,,,https://imperial.p2pstream.vip/#owgg9h,"Action, Crime, Thriller",,Legendary hitman John Wick comes out of retirement after mobsters kill his dog and steal his car. The underworld learns why the name Wick is still whispered in fear.,2014,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe, Ian McShane, Lance Reddick"
Movie,John Wick Chapter 2,,,https://imperial.p2pstream.vip/#owgxh5,"Action, Crime, Thriller",,A blood oath pulls Wick back to Rome to assassinate a crime lord's sister. Breaking Continental rules paints a bounty on his back and turns every killer in the world against him.,2017,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose, Common, Laurence Fishburne"
Movie,John Wick Chapter 3,,,https://imperial.p2pstream.vip/#bgfvzn,"Action, Crime, Thriller",,"Excommunicado and hunted, Wick seeks allies from Casablanca to the Continental. The High Table demands his death, and every favor he calls in comes with a body count.",2019,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne, Mark Dacascos, Asia Kate Dillon"
Movie,John Wick Chapter 4,,,https://imperial.p2pstream.vip/#owgte5,"Action, Crime, Thriller",,"Wick sets out to destroy the High Table, facing the Marquis and a blind assassin bound by honor. The road from Osaka to Paris ends in a sunrise duel for his freedom.",2023,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Laurence Fishburne, Hiroyuki Sanada, Shamier Anderson"
Movie,Big Hero 6,,,https://imperial.p2pstream.vip/#5obbmh,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",,Young robotics prodigy Hiro and inflatable healthcare companion Baymax form a superhero team after a deadly explosion. Together they uncover a masked villain in futuristic San Fransokyo.,2014,"Ryan Potter, Scott Adsit, T.J. Miller, Jamie Chung, Damon Wayans Jr., Genesis Rodriguez"
Movie,Parasite,,,https://imperial.p2pstream.vip/#rydmqa,"Comedy, Drama, Thriller",,The unemployed Kim family infiltrates a wealthy household by posing as unrelated skilled workers. Class resentment and a secret in the basement explode into a shocking collision of two worlds.,2019,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun"
Movie,The Soccer Football Movie,,,https://ployan.me/watch/?v11#bkFGSkZrQ0R5N3VnUkc3TFh4TXRpN2Y0clRVcXM3MFdoUkYrYUpkQmxuUVppcVNYUDBEaVcwZkQrdzkrSDRsNnBLYUtwUlNGdnFJPQ,"Animation, Comedy, Family, Sport",,"When an evil scientist steals the world's soccer talent, young fans and superstar players team up to get the beautiful game back. A colorful animated comedy for sports-loving families.",2022,"Kylian Mbappé, Megan Rapinoe, Mo Salah, Neymar Jr., Serena Williams"
Movie,The Greatest Beer Run Ever,,,https://ployan.me/watch/?v11#eTEzdjVZMUtVTCs2Q05nSjRudFlJM21EYVdEWllXdVNYRVpQUEZVVHBrK0VzUW5kS1NlWHNUMXJUMjZ1dW81d0Zkd2xmMXdHQUtrPQ,"Comedy, Drama, War",,"In 1967, a New Yorker ships out to Vietnam to deliver beers to neighborhood friends serving in the war. What starts as a drunken dare becomes a firsthand look at combat and conscience.",2022,"Zac Efron, Russell Crowe, Bill Murray, Jake Picking, Will Ropp"
Movie,Night of the Killer Bears,,,https://ployan.me/watch/?v11#S3lkL0NteUlBWVdhMnI5UEJlVHZwd3dqZDJ6RVYwQ1VHWHpERWlGcmg3VXZsdFNjWWorb3VQZXpwYWVqMVl0TWtLU2FZTzVqV0V3PQ,"Horror, Thriller",,Campers in remote woods realize the bears hunting them are not acting like animals. A blood-soaked night of survival horror as nature—and something worse—closes in.,2022,Ensemble Cast
Movie,The Lake,,,https://ployan.me/watch/?v11#M1hjTHRGRzd1eFpXZDlONkVNVFFzb00rVkVMcWxRUHluM0dHTjFxUGx4NlNRa0VoMTB2YXBjRTBJOWRCU204UGJCdmdudjNDam9jPQ,"Horror, Sci-Fi, Thriller",,Villagers around a Thai lake are terrorized by a gigantic prehistoric creature. Soldiers and locals must work together before the monster turns the water into a grave.,2022,"Theeradej Wongpuapan, Supawadee Kaewjinda, Vithaya Pansringarm, Laila Boonyasak"
Movie,Fast & Feel Love,,,https://ployan.me/watch/?v11#Z3h2SkxLZGdHSlVTdUlOd0gyQ1hxUmJFRHd2a05IQkVKb2J2eEY5T3RGK0QzS25kYzRoY01uMGVYU01kdjh1MjloUHB1Tk5KMFRVPQ,"Comedy, Romance",,A world-ranked speed-stacking champion loses his girlfriend and his edge at the same time. To win her back—and the next contest—he has to stack his life as carefully as his cups.,2022,"Nat Kitcharit, Anuthida Phonchamrun, Putthipong Assaratanakul, Masasu Suzuki"
Movie,Fistful of Vengeance,,,https://ployan.me/watch/?v11#cUN6RlFkUWYveFNZUE9sU3dWRzlPejNwWVk4SExVMTZUQ1VOM3c0VHBTU0c3ajZYTVp0K1JDWEJnRXZOM2MyZ29Cbm4yOHl0L3JRPQ,"Action, Fantasy, Thriller",,"After a massacre in Bangkok, a cop and a vengeful brother hunt a crime syndicate tied to dark magic. Martial arts and the supernatural collide in this Wu Assassins spin-off.",2022,"Iko Uwais, Lewis Tan, Lawrence Kao, JuJu Chan, Pearl Thusi"
Movie,AI Love You,,,https://ployan.me/watch/?v11#bStVZU1MM3dnQjNwTDNpSmQ3Z3pMcW0vVzNiK3dOc3JZMmRwTVBETTkwRW1HNE9mRlJLVEtvbnNNSVcxcHdwN2p6Q25pR2FPK1RNPQ,"Comedy, Romance, Sci-Fi",,A brilliant coder's neglected AI assistant inhabits a human body to win her creator's heart. Sci-fi rom-com chaos follows as the program learns what love actually costs.,2022,"Pimchanok Luevisadpaibul, Sunny Suwanmethanont, Saharat Sangkapreecha"
